#Wvlgth,Global_tilted_irradiance,Beam_normal_+circumsolar,Difuse_horiz-circumsolar
.2800E+03,.3690E-19,.2556E-25,.4088E-19
.2805E+03,.9572E-18,.1100E-23,.1060E-17
.2810E+03,.4403E-17,.6167E-23,.4878E-17
.2815E+03,.2767E-18,.2767E-21,.3063E-18
.2820E+03,.1276E-17,.2852E-20,.1411E-17
.2825E+03,.3829E-17,.1335E-19,.4227E-17
.2830E+03,.1260E-16,.6799E-19,.1388E-16
.2835E+03,.2202E-16,.1469E-18,.2424E-16
.2840E+03,.3242E-15,.5010E-17,.3537E-15
.2845E+03,.9819E-15,.2172E-16,.1064E-14
.2850E+03,.2976E-14,.9039E-16,.3199E-14
.2855E+03,.1424E-13,.6470E-15,.1507E-13
.2860E+03,.4395E-13,.2359E-14,.4613E-13
.2865E+03,.2509E-12,.1853E-13,.2578E-12
.2870E+03,.7830E-12,.7280E-13,.7885E-12
.2875E+03,.2978E-11,.3675E-12,.2901E-11
.2880E+03,.1265E-10,.2816E-11,.1096E-10
.2885E+03,.3721E-10,.9092E-11,.3136E-10
.2890E+03,.1311E-09,.3508E-10,.1072E-09
.2895E+03,.5256E-09,.1541E-09,.4153E-09
.2900E+03,.1637E-08,.5158E-09,.1254E-08
.2905E+03,.3987E-08,.1333E-08,.2971E-08
.2910E+03,.1095E-07,.3905E-08,.7895E-08
.2915E+03,.3772E-07,.1446E-07,.2612E-07
.2920E+03,.1015E-06,.4087E-07,.6810E-07
.2925E+03,.1723E-06,.7054E-07,.1144E-06
.2930E+03,.3810E-06,.1579E-06,.2509E-06
.2935E+03,.1138E-05,.4718E-06,.7488E-06
.2940E+03,.2298E-05,.9470E-06,.1519E-05
.2945E+03,.3329E-05,.1599E-05,.1954E-05
.2950E+03,.6893E-05,.3229E-05,.4135E-05
.2955E+03,.1813E-04,.8032E-05,.1137E-04
.2960E+03,.2861E-04,.1475E-04,.1570E-04
.2965E+03,.4505E-04,.2334E-04,.2460E-04
.2970E+03,.6398E-04,.3322E-04,.3485E-04
.2975E+03,.1313E-03,.6798E-04,.7177E-04
.2980E+03,.2163E-03,.1114E-03,.1188E-03
.2985E+03,.2789E-03,.1428E-03,.1540E-03
.2990E+03,.4000E-03,.2034E-03,.2226E-03
.2995E+03,.7523E-03,.3741E-03,.4276E-03
.3000E+03,.9289E-03,.4564E-03,.5339E-03
.3005E+03,.1182E-02,.5722E-03,.6890E-03
.3010E+03,.1962E-02,.9194E-03,.1176E-02
.3015E+03,.2911E-02,.1320E-02,.1792E-02
.3020E+03,.3260E-02,.1457E-02,.2030E-02
.3025E+03,.4803E-02,.2191E-02,.2942E-02
.3030E+03,.7977E-02,.3733E-02,.4784E-02
.3035E+03,.1011E-01,.4804E-02,.5985E-02
.3040E+03,.1067E-01,.5097E-02,.6288E-02
